category	file	region	slug	parser_ok	current_path	issues
02_作成済み	七ツ島_テンプレート.txt	七ツ島	nanatsujima	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\七ツ島_テンプレート.txt	作成済み: existing shared registration: HP/source/area.html
09_複合問題	三和町_テンプレート.txt	三和町	sanwacho	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\三和町_テンプレート.txt	作成済み: existing page artifact: HP/kagoshima-deliveryhealth-area-sanwacho.php / 作成済み: existing page artifact: HP/source/kagoshima-deliveryhealth-area-sanwacho.html / 作成済み: existing page artifact: HP/includefile/dataset_kagoshima-deliveryhealth-area-sanwacho.php / 一覧名違い: area list same-region slug mismatch: canonical=sanwacho existing_region_slugs=miwacho / 作成済み: existing shared registration: HP/includefile/dataset_base.php
09_複合問題	上之園町_テンプレート.txt	上之園町	uenosonocho	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\上之園町_テンプレート.txt	未管理: direct input is not tracked in HEAD: HP/Text_area_data/上之園町_テンプレート.txt / 作成済み: existing page artifact: HP/kagoshima-deliveryhealth-area-uenosonocho.php / 作成済み: existing page artifact: HP/source/kagoshima-deliveryhealth-area-uenosonocho.html / 作成済み: existing page artifact: HP/includefile/dataset_kagoshima-deliveryhealth-area-uenosonocho.php / 作成済み: existing shared registration: HP/source/area.html / 作成済み: existing shared registration: HP/sitemap.xml
09_複合問題	上本町_テンプレート.txt	上本町	kamihonmachi	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\上本町_テンプレート.txt	作成済み: existing page artifact: HP/kagoshima-deliveryhealth-area-kamihonmachi.php / 作成済み: existing page artifact: HP/includefile/dataset_kagoshima-deliveryhealth-area-kamihonmachi.php / 一覧名違い: area list same-region slug mismatch: canonical=kamihonmachi existing_region_slugs=uehonmachi / 作成済み: existing shared registration: HP/includefile/dataset_base.php
02_作成済み	上福元町_テンプレート.txt	上福元町	kamifukumotocho	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\上福元町_テンプレート.txt	作成済み: existing page artifact: HP/kagoshima-deliveryhealth-area-kamifukumotocho.php / 作成済み: existing page artifact: HP/includefile/dataset_kagoshima-deliveryhealth-area-kamifukumotocho.php / 作成済み: existing shared registration: HP/includefile/dataset_base.php / 作成済み: existing shared registration: HP/source/area.html
09_複合問題	上竜尾町_テンプレート.txt	上竜尾町	kamitatsuocho	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\上竜尾町_テンプレート.txt	作成済み: existing page artifact: HP/kagoshima-deliveryhealth-area-kamitatsuocho.php / 作成済み: existing page artifact: HP/includefile/dataset_kagoshima-deliveryhealth-area-kamitatsuocho.php / 一覧名違い: area list same-region slug mismatch: canonical=kamitatsuocho existing_region_slugs=kamiryubiocho / 作成済み: existing shared registration: HP/includefile/dataset_base.php
09_複合問題	上荒田町_テンプレート.txt	上荒田町	uearatacho	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\上荒田町_テンプレート.txt	未管理: direct input is not tracked in HEAD: HP/Text_area_data/上荒田町_テンプレート.txt / 作成済み: existing page artifact: HP/kagoshima-deliveryhealth-area-uearatacho.php / 作成済み: existing page artifact: HP/source/kagoshima-deliveryhealth-area-uearatacho.html / 作成済み: existing page artifact: HP/includefile/dataset_kagoshima-deliveryhealth-area-uearatacho.php / 作成済み: existing shared registration: HP/source/area.html / 作成済み: existing shared registration: HP/sitemap.xml
02_作成済み	上谷口町_テンプレート.txt	上谷口町	kamitaniguchicho	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\上谷口町_テンプレート.txt	作成済み: existing page artifact: HP/kagoshima-deliveryhealth-area-kamitaniguchicho.php / 作成済み: existing page artifact: HP/includefile/dataset_kagoshima-deliveryhealth-area-kamitaniguchicho.php / 作成済み: existing shared registration: HP/includefile/dataset_base.php / 作成済み: existing shared registration: HP/source/area.html
09_複合問題	下伊敷町_テンプレート.txt	下伊敷町	shimoishikicho	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\下伊敷町_テンプレート.txt	未管理: direct input is not tracked in HEAD: HP/Text_area_data/下伊敷町_テンプレート.txt / 作成済み: existing page artifact: HP/kagoshima-deliveryhealth-area-shimoishikicho.php / 作成済み: existing page artifact: HP/source/kagoshima-deliveryhealth-area-shimoishikicho.html / 作成済み: existing page artifact: HP/includefile/dataset_kagoshima-deliveryhealth-area-shimoishikicho.php / 作成済み: existing shared registration: HP/includefile/dataset_base.php / 作成済み: existing shared registration: HP/source/area.html
02_作成済み	下田町_テンプレート.txt	下田町	shimotacho	yes	\\192.168.1.3\disk1\FSG_SEO\candy\HP\Text_area_data\分類_20260716_115215\01_間違い無し\下田町_テンプレート.txt	作成済み: existing page artifact: HP/kagoshima-deliveryhealth-area-shimotacho.php / 作成済み: existing page artifact: HP/source/kagoshima-deliveryhealth-area-shimotacho.html / 作成済み: existing page artifact: HP/includefile/dataset_kagoshima-deliveryhealth-area-shimotacho.php / 作成済み: existing shared registration: HP/includefile/dataset_base.php / 作成済み: existing shared registration: HP/source/area.html
